Source,has_feature_addition,deletions,cross_project_changes,insertions,num_file_types,is_preventive,last_mth_cro_proj_nbr,project_changes_owner,whole_changes_owner,is_refactoring,cross_project_changes_owner,description_word_count,whole_within_project_changes,is_merge,num_directory_files,within_project_changes,is_corrective,description_length,num_file_changes,project_age,is_non_functional,subject_length,within_project_changes_owner,num_dev_modified_files,avg_num_dev_modified_files,code_churn,last_mth_dep_proj_nbr,ratio_dep_chan_owner,projects_contributed_owner,is_dependent,Source_repo,reviewers,is_cross,insertions_target,deletions_target,code_churn_target,num_directory_files_target,is_corrective_target,is_refactoring_target,is_preventive_target,is_non_functional_target,has_feature_addition_target,is_merge_target,cross_project_changes_owner_target,within_project_changes_owner_target,whole_changes_owner_target,projects_contributed_owner_target,project_changes_owner_target,ratio_dep_chan_owner_target,project_age_target,last_mth_dep_proj_nbr_target,last_mth_cro_proj_nbr_target,cross_project_changes_target,within_project_changes_target,whole_within_project_changes_target,num_file_changes_target,num_file_types_target,num_dev_modified_files_target,avg_num_dev_modified_files_target,description_word_count_target,description_length_target,subject_length_target,number_target,Target_repo,Target,Source_date,Target_date,Source_author,Target_author,changed_files_overlap,cmn_dev_pctg,num_shrd_file_tkns,num_shrd_desc_tkns,dev_in_src_change_nbr,src_trgt_co_changed_nbr
84,1,0,0,214,0,0,0,20,20,0,0,10,0,1,0,0,0,78,0,94208.0,0,43,0,0,0.0,214,0,0.0,1,0,openstack/keystone,"[3, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
81,0,121,0,33,1,0,0,20,20,0,0,12,0,0,5,0,0,64,3,94208.0,0,63,0,1,0.2,154,0,0.0,1,0,openstack/keystone,"[3, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,1.2777777777777777,0.0,0.782608695652174,0.0975609756097561,0,0
80,1,0,0,214,2,0,0,20,20,0,0,5,0,0,3,0,0,38,1,94208.0,0,37,0,1,0.3333333333333333,214,0,0.0,1,0,openstack/keystone,"[3, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,1.4210526315789473,0.0,0.7037037037037037,0.0975609756097561,0,0
82,0,0,0,17,1,0,0,20,20,1,0,7,0,0,1,0,1,49,3,94208.0,0,48,0,2,2.0,17,0,0.0,1,0,openstack/keystone,"[3, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,13.0,0.0,0.07692307692307693,0.0975609756097561,0,0
83,0,1,0,1,1,0,0,20,20,0,0,2,0,0,1,0,0,22,3,94208.0,0,21,0,2,2.0,2,0,0.0,1,0,openstack/keystone,"[3, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:49,2025-07-04 11:04:23,5,8064,13.0,0.0,0.07692307692307693,0.0975609756097561,0,0
86,0,0,0,6,1,0,0,28,28,0,0,6,0,0,2,0,0,39,2,94209.0,1,38,0,1,0.5,6,0,0.0,1,0,openstack/keystone,"[3, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:50,2025-07-04 11:04:23,5,8064,1.8571428571428572,0.0,0.5384615384615384,0.0975609756097561,0,0
87,0,0,0,17,0,0,0,28,28,0,0,5,0,1,0,0,0,61,0,94209.0,0,60,0,0,0.0,17,0,0.0,1,0,openstack/keystone,"[3, 5, 679]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:50,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
85,0,0,0,17,0,0,0,28,28,0,0,15,0,1,0,0,0,106,0,94209.0,0,49,0,0,0.0,17,0,0.0,1,0,openstack/keystone,"[3, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:50,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
88,0,0,0,6,0,0,0,28,28,0,0,11,0,1,0,0,0,81,0,94209.0,1,43,0,0,0.0,6,0,0.0,1,0,openstack/keystone,"[3, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:43:50,2025-07-04 11:04:23,5,8064,0.0,0.0,0.0,0.0975609756097561,0,0
89,0,8,0,8,1,0,0,0,0,1,0,10,0,0,1,0,0,98,1,94902.0,0,43,0,1,1.0,16,0,0.0,0,0,openstack/keystone,[],1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 17:55:23,2025-07-04 11:04:23,2,8064,1.5384615384615385,0.0,0.65,0.0975609756097561,0,0
93,0,0,0,96,1,0,0,4,4,0,0,7,0,0,1,0,0,55,1,112989.0,0,54,0,1,1.0,96,0,0.0,1,0,openstack/keystone,"[3, 4, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-26 22:56:50,2025-07-04 11:04:23,8,8064,1.7142857142857142,0.0,0.5833333333333334,0.0975609756097561,0,0
94,0,14,0,18,1,1,0,7,7,0,0,8,0,0,1,0,1,89,1,129657.0,0,34,0,1,1.0,32,0,0.0,1,0,openstack/keystone,"[3, 4, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-27 03:34:38,2025-07-04 11:04:23,4,8064,1.5,0.0,0.6666666666666666,0.0975609756097561,0,0
95,0,313,0,213,1,1,0,7,7,0,0,8,0,0,1,0,1,95,1,129657.0,0,40,0,1,1.0,526,0,0.0,1,0,openstack/keystone,"[3, 5, 8]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-27 03:34:38,2025-07-04 11:04:23,4,8064,1.4,0.0,0.7142857142857143,0.0975609756097561,0,0
96,0,4,0,5,1,0,0,5,5,0,0,6,0,0,1,0,0,58,2,172345.0,0,57,0,1,1.0,9,0,0.0,1,0,openstack/keystone,"[3, 4, 5]",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0,386513281.0,0,0,0,0,2,0,1,0,0.0,10,123,21,954109,openstack/puppet-keystone,954109,2011-07-27 15:26:06,2025-07-04 11:04:23,8,8064,1.7142857142857142,0.0,0.5833333333333334,0.0975609756097561,0,0
