changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['deployment/puppet/neutron/lib/puppet/parser/functions/sanitize_neutron_config.rb'],7604,MERGED,106053,0,0,0.0,0.0,0
['watcher/conf/collector.py'],6873,MERGED,659133,0,0,0.0,0.0,0
['nova/api/openstack/compute/plugins/v3/flavors_extraspecs.py'],6062,MERGED,136569,0,0,0.0,0.0,0
"['ceilometerclient/openstack/common/apiclient/auth.py', 'ceilometerclient/openstack/common/apiclient/base.py', 'ceilometerclient/openstack/common/py3kcompat/__init__.py', 'ceilometerclient/openstack/common/apiclient/client.py', 'ceilometerclient/openstack/common/py3kcompat/urlutils.py', 'ceilometerclient/openstack/common/apiclient/fake_client.py', 'ceilometerclient/openstack/common/strutils.py', 'ceilometerclient/openstack/common/gettextutils.py', 'ceilometerclient/openstack/common/apiclient/__init__.py', 'ceilometerclient/openstack/common/importutils.py', 'ceilometerclient/openstack/common/apiclient/exceptions.py', 'ceilometerclient/openstack/common/cliutils.py']",9219,ABANDONED,55703,0,0,0.0,0.0,0
['neutron/extensions/l3_ext_ha_mode.py'],8873,MERGED,126706,0,0,0.0,0.0,0
['requirements.txt'],11131,MERGED,221929,3,3,3.0,3.0,1
"['metadata.json', 'releasenotes/notes/mitaka-dece9d43a565e6cb.yaml', 'releasenotes/notes/use-reno-1caaec4ba5aa4285.yaml', 'releasenotes/source/index.rst', 'CHANGELOG.md']",3153,MERGED,296750,0,0,0.0,0.0,0
['test-requirements.txt'],11131,MERGED,212278,2,2,2.0,2.0,1
['horizon/static/framework/widgets/magic-search/magic-search.controller.js'],11778,MERGED,292692,0,0,0.0,0.0,0
['networking_l2gw/tests/unit/l2gatewayclient/test_cli20.py'],11447,MERGED,353822,0,0,0.0,0.0,0
"['ironic_python_agent/hardware.py', 'ironic_python_agent/tests/unit/test_hardware.py']",12356,MERGED,761777,11,27,19.0,19.0,2
['neutron/agent/l3/ha_router.py'],15910,MERGED,379908,1,1,1.0,1.0,1
['nova/tests/unit/api/openstack/compute/test_serversV21.py'],6062,MERGED,277575,1,1,1.0,1.0,1
"['tools/misc-sanity-checks.sh', 'tox.ini']",12860,MERGED,521235,0,0,0.0,0.0,0
"['congress/dse/tests/test_dse.py', 'congress/dse/__init__.py', 'congress/dse/d6message.py', 'congress/dse/d6cage.py', 'congress/dse/deepsix.py', 'congress/dse/tests/__init__.py', 'congress/dse/dataobj.py', 'scripts/run_tests', 'congress/server/service_pluggins/test_driver.py', 'congress/server/service_pluggins/datasource_driver.py', 'congress/policy/runtime.py']",8215,MERGED,93143,0,0,0.0,0.0,0
"['doc/source/install/installation.rst', 'playbooks/legacy/manila-ui-dsvm/run.yaml']",7118,MERGED,646477,0,2,1.0,1.0,1
['.zuul.yaml'],11564,MERGED,599415,0,0,0.0,0.0,0
['trove/tests/scenario/runners/root_actions_runners.py'],14576,MERGED,279779,0,0,0.0,0.0,0
"['lib/puppet/type/senlin_config.rb', 'spec/unit/type/senlin_config_spec.rb']",9816,MERGED,725178,0,0,0.0,0.0,0
['setup.cfg'],4375,MERGED,57184,0,0,0.0,0.0,0
['README.md'],14985,ABANDONED,386836,2,2,2.0,2.0,1
['requirements.txt'],11131,MERGED,467208,0,0,0.0,0.0,0
"['dragonflow/controller/l2_app.py', 'dragonflow/controller/df_local_controller.py']",11343,MERGED,215981,0,0,0.0,0.0,0
['neutron/plugins/ml2/drivers/ovn/mech_driver/ovsdb/ovn_client.py'],34118,MERGED,817525,12,12,12.0,12.0,1
['heat/engine/resources/openstack/cinder/volume.py'],7230,ABANDONED,212163,0,0,0.0,0.0,0
"['nova/virt/libvirt/blockinfo.py', 'nova/tests/unit/virt/libvirt/test_blockinfo.py']",15237,MERGED,163152,0,1,0.5,0.5,1
['playbooks/roles/os_heat/CONTRIBUTING.rst'],6816,MERGED,240917,0,0,0.0,0.0,0
['deliverables/victoria/openstack-ansible.yaml'],28619,MERGED,774599,1,1,1.0,1.0,1
['gerritbot/channels.yaml'],11343,MERGED,249641,74,74,74.0,74.0,1
"['zaqar/transport/wsgi/driver.py', 'zaqar/transport/websocket/driver.py']",14101,MERGED,239347,1,2,1.5,1.5,2
"['unit_tests/test_ceph_radosgw_context.py', 'hooks/ceph_radosgw_context.py', 'templates/ceph.conf']",8108,MERGED,884827,2,3,3.0,2.666666667,3
['openstack/keystoneauth1/keystoneauth1.spec.j2'],6593,MERGED,523550,7,7,7.0,7.0,1
['setup.cfg'],22020,MERGED,373103,0,0,0.0,0.0,0
"['releasenotes/source/locale/en_GB/LC_MESSAGES/releasenotes.po', 'releasenotes/source/locale/pt_BR/LC_MESSAGES/releasenotes.po']",11131,MERGED,558720,0,0,0.0,0.0,0
"['taskflow/flow.py', 'taskflow/storage.py', 'taskflow/persistence/backends/base.py', 'taskflow/engines/base.py', 'taskflow/task.py', 'taskflow/jobs/jobboard.py', 'taskflow/engines/action_engine/base_action.py', 'taskflow/listeners/base.py']",1297,MERGED,50791,0,0,0.0,0.0,0
['setup.cfg'],16137,MERGED,621421,0,0,0.0,0.0,0
['setup.cfg'],8482,MERGED,584017,0,0,0.0,0.0,0
