Feature,Ranking,Classifier,fold0,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,median
projects_contributed_owner_source,7,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0,0.0023778378059487707,0.0,0.0,0.00388228466900335,0.0,0.00388228466900335
num_shrd_file_tkns,7,ET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
num_shrd_file_tkns,7,RF,0.34210526315789475,2.7500000000000004,0.1428571428571428,0.25454545454545435,0.08510638297872349,0.16981132075471692,0.057692307692307744,0.2156862745098039,-0.06557377049180334,0.0677966101694916,0.15633423180592987
num_shrd_file_tkns,7,XGBoost,0.07834088802337646,1.3491302728652954,0.05959910899400711,0.2998570501804352,0.15397629141807556,0.09803634881973267,0.013620484620332718,0.017722805961966515,-0.0012702082749456167,0.38910338282585144,0.08818861842155457
num_shrd_file_tkns,7,AdaBoost,0.0,0.026073280089668617,0.0,0.003919592012726032,0.0,0.0,0.0,0.0,0.0,0.0,0.014996436051197324
is_preventive_target,8,ET,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
is_preventive_target,8,RF,0.13157894736842102,2.7500000000000004,0.07936507936507943,0.03636363636363619,-0.042553191489361625,0.018867924528301903,0.03846153846153849,0.0,0.03278688524590167,-0.0169491525423729,0.03636363636363619
is_preventive_target,8,XGBoost,0.29828396439552307,1.3491302728652954,0.005174227058887482,0.08450517058372498,0.12141087651252747,0.14324767887592316,0.0,0.0659366101026535,0.020481256768107414,0.25449076294898987,0.12141087651252747
is_preventive_target,8,AdaBoost,0.0,0.026073280089668617,0.0,0.0,0.0028050494529120993,0.0,0.0,0.0,0.0026547930561505377,0.002622650371595803,0.0027299212545313185
is_refactoring_source,8,ET,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
is_refactoring_source,8,RF,0.0,2.7500000000000004,-0.015873015873015886,0.0,-0.021276595744680753,-0.03773584905660381,-0.057692307692307744,0.0,-0.04918032786885251,0.0,-0.029506222400642282
is_refactoring_source,8,XGBoost,-0.20270918309688568,1.3491302728652954,-0.00848994217813015,0.037444740533828735,-0.03476512059569359,-0.15899883210659027,-0.04942156374454498,-0.034119028598070145,-0.11177623271942139,0.02828483283519745,-0.034442074596881866
